Date,Open,High,Low,Close,Adj Close,Volume
2008-02-04,7018.640137,7059.189941,6975.930176,7000.490234,7000.490234,144405100
2008-02-05,6998.740234,7000.049805,6744.169922,6765.250000,6765.250000,205815500
2008-02-06,6726.540039,6861.939941,6696.939941,6847.509766,6847.509766,196641300
2008-02-07,6829.069824,6839.160156,6655.649902,6733.720215,6733.720215,242206600
2008-02-08,6777.540039,6851.779785,6706.180176,6767.279785,6767.279785,143498800
2008-02-11,6723.970215,6812.209961,6690.770020,6743.540039,6743.540039,134973600
2008-02-12,6793.470215,6979.229980,6746.200195,6967.839844,6967.839844,191560200
2008-02-13,6914.209961,7007.049805,6869.939941,6973.669922,6973.669922,158526000
2008-02-14,7024.569824,7062.080078,6935.310059,6962.279785,6962.279785,172577100
2008-02-15,6966.750000,7012.629883,6797.759766,6832.430176,6832.430176,189386700
2008-02-18,6865.569824,6997.770020,6865.569824,6967.549805,6967.549805,114683800
2008-02-19,6947.680176,7079.740234,6890.930176,7002.290039,7002.290039,145000300
2008-02-20,6933.020020,6964.930176,6852.580078,6899.680176,6899.680176,177428700
2008-02-21,6928.339844,7017.859863,6881.290039,6904.850098,6904.850098,147236100
2008-02-22,6889.490234,6889.490234,6762.770020,6806.290039,6806.290039,163836200
2008-02-25,6850.919922,6922.609863,6825.120117,6882.560059,6882.560059,128930900
2008-02-26,6906.430176,7007.439941,6906.430176,6985.970215,6985.970215,163794900
2008-02-27,7007.689941,7017.700195,6881.229980,6997.850098,6997.850098,141279000
2008-02-28,6985.419922,6995.390137,6849.589844,6862.520020,6862.520020,170746400
2008-02-29,6847.899902,6864.689941,6698.549805,6748.129883,6748.129883,185672300
2008-03-03,6692.979980,6701.529785,6608.609863,6689.950195,6689.950195,147794700
2008-03-04,6692.729980,6720.160156,6516.830078,6545.040039,6545.040039,191380100
2008-03-05,6583.299805,6699.299805,6578.819824,6683.709961,6683.709961,153632500
2008-03-06,6674.740234,6683.160156,6569.600098,6591.310059,6591.310059,167895600
2008-03-07,6550.549805,6562.399902,6450.879883,6513.990234,6513.990234,185836100
2008-03-10,6487.109863,6537.390137,6414.520020,6448.080078,6448.080078,157678700
2008-03-11,6462.529785,6604.000000,6431.740234,6524.569824,6524.569824,185309300
2008-03-12,6574.520020,6666.580078,6569.359863,6599.370117,6599.370117,153059400
2008-03-13,6529.620117,6529.620117,6399.040039,6500.560059,6500.560059,189252100
2008-03-14,6500.169922,6623.419922,6391.560059,6451.899902,6451.899902,202037400
2008-03-17,6360.919922,6362.020020,6167.819824,6182.299805,6182.299805,291401200
2008-03-18,6237.629883,6417.950195,6237.629883,6393.390137,6393.390137,201172900
2008-03-19,6429.240234,6469.990234,6310.600098,6361.220215,6361.220215,307874000
2008-03-20,6331.060059,6376.240234,6270.979980,6319.990234,6319.990234,339343600
2008-03-25,6443.450195,6540.479980,6443.359863,6524.709961,6524.709961,202263600
2008-03-26,6508.430176,6538.279785,6469.000000,6489.259766,6489.259766,156573000
2008-03-27,6486.020020,6610.160156,6478.810059,6578.060059,6578.060059,162549800
2008-03-28,6587.209961,6616.450195,6535.069824,6559.899902,6559.899902,125291500
2008-03-31,6530.109863,6541.120117,6429.620117,6534.970215,6534.970215,129101300
2008-04-01,6519.020020,6734.500000,6496.939941,6720.330078,6720.330078,194037000
2008-04-02,6749.240234,6806.660156,6726.430176,6777.439941,6777.439941,174173100
2008-04-03,6788.399902,6802.620117,6695.830078,6741.720215,6741.720215,144356400
2008-04-04,6753.870117,6797.229980,6691.279785,6763.390137,6763.390137,122205700
2008-04-07,6802.549805,6843.250000,6795.060059,6821.029785,6821.029785,114267900
2008-04-08,6795.049805,6795.339844,6723.839844,6771.979980,6771.979980,115540000
2008-04-09,6751.479980,6785.060059,6705.060059,6721.359863,6721.359863,118853300
2008-04-10,6716.689941,6719.069824,6608.779785,6704.319824,6704.319824,149022700
2008-04-11,6739.180176,6768.120117,6570.740234,6603.569824,6603.569824,147203300
2008-04-14,6561.899902,6573.250000,6516.509766,6554.490234,6554.490234,108348200
